#{"t_start": 1768158445.438503, "env_id": "None"}
r,l,t
-135.158415,12,9.736816
-214.902363,12,9.75719
-241.685635,12,9.769747
-259.263261,12,9.785289
-305.966986,12,9.797862
-263.445794,12,9.810938
-184.498811,12,9.820466
-257.969859,12,9.840893
-147.621561,12,9.854955
-176.129442,12,9.867935
-221.569537,12,9.882938
-116.371627,12,9.897791
-212.642919,12,9.910682
-239.61716,12,9.923915
-178.443777,12,9.937667
-241.462365,12,9.951766
-216.305301,12,9.96484
-83.040591,12,9.981838
-273.522739,12,9.995415
-200.225136,12,10.011007
-92.389986,12,10.026009
-245.194427,12,10.039434
-206.472018,12,10.053391
-255.952186,12,10.067611
-252.183808,12,10.078078
-136.766933,12,10.098448
-260.065299,12,10.114073
-234.446768,12,10.12965
-183.540207,12,10.143971
-352.725577,12,10.158823
-290.078309,12,10.173986
-291.94612,12,10.193203
-292.978302,12,10.208128
-229.922083,12,10.222041
-259.206139,12,10.237891
-176.046546,12,10.251476
-294.402393,12,10.265096
-188.103001,12,10.279493
-314.830859,12,10.295108
-270.494052,12,10.309541
-209.540756,12,10.324513
-154.652828,12,10.339216
-117.324594,12,10.347877
-179.487532,12,10.368941
-269.3994,12,10.384277
-316.122691,12,10.398008
-212.045496,12,10.417835
-201.580641,12,10.430174
-299.643788,12,10.448804
-295.376615,12,10.467702
-297.169686,12,10.479881
-180.406483,12,10.498071
-264.298123,12,10.516149
-315.803257,12,10.533685
-324.042198,12,10.549489
-172.181484,12,10.565511
-221.459556,12,10.582006
-317.373974,12,10.599577
-300.191436,12,10.616725
-228.46485,12,10.634248
-257.133595,12,10.650278
-252.645341,12,10.669021
-196.858599,12,10.687086
-146.569106,12,10.702135
-94.906782,12,10.71771
-187.197905,12,10.727937
-269.750698,12,10.74789
-168.001966,12,10.763885
-175.988237,12,10.778423
-228.782337,12,10.793867
-180.724721,12,10.80996
-221.581426,12,10.828024
-234.723192,12,10.842969
-262.442008,12,10.860945
-221.974655,12,10.880683
-279.198165,12,10.896805
-291.015713,12,10.912367
-117.4506,12,10.927977
-148.540316,12,10.941612
-179.608452,12,10.953638
-244.036287,12,10.971179
-166.666865,12,10.985628
-270.288233,12,11.000655
-300.111474,12,11.012995
-176.903865,12,11.027834
-258.716168,12,11.043469
-269.023076,12,11.056115
-151.938506,12,12.175513
-280.511182,12,12.191159
-195.307405,12,12.204136
-337.259376,12,12.218072
-86.179122,12,12.233883
-173.753086,12,12.247911
-128.381454,12,12.266437
-167.347901,12,12.28488
-50.103368,12,12.301855
-99.815852,12,12.319321
-221.198101,12,12.334621
-138.074342,12,12.352601
-124.692939,12,12.36876
-170.131332,12,12.38339
-268.282745,12,12.39951
-265.667251,12,12.414304
-119.666961,12,12.432405
-187.336824,12,12.448092
-276.919218,12,12.466614
-83.719867,12,12.48304
-150.50253,12,12.50257
-181.446137,12,12.525967
-206.973995,12,12.546945
-256.516478,12,12.563394
-94.493425,12,12.577785
-164.135709,12,12.592354
-112.692569,12,12.602832
-274.206761,12,12.618819
-145.037395,12,12.638122
-99.35045,12,12.650131
-168.178473,12,12.668011
-43.399712,12,12.680745
-225.755678,12,12.698123
-144.827718,12,12.716167
-192.641839,12,12.733868
-251.835606,12,12.752998
-245.337542,12,12.76334
-307.191365,12,12.783473
-256.705963,12,12.793748
-368.604384,12,12.814501
-197.704657,12,12.825512
-198.847211,12,12.842197
-231.820712,12,12.855254
-310.831869,12,12.871747
-259.50116,12,12.884842
-329.225032,12,12.896413
-313.077182,12,12.914964
-82.824429,12,12.933312
-123.208064,12,12.946788
-229.160549,12,12.961483
-314.008665,12,12.97158
-301.870769,12,12.989734
-250.15676,12,13.010645
-236.509878,12,13.020756
-206.309215,12,13.038218
-142.225134,12,13.052629
-272.832182,12,13.060862
-204.59189,12,13.081266
-262.673196,12,13.095459
-210.054345,12,13.108515
-77.262946,12,13.123592
-131.830266,12,13.136164
-218.832769,12,13.14848
-167.533346,12,13.162544
-88.250021,12,13.17696
-155.882086,12,13.19277
-178.247584,12,13.203935
-293.795738,12,13.222292
-212.604915,12,13.234424
-266.24504,12,13.24956
-325.684364,12,13.264706
-173.618196,12,13.278915
-224.600715,12,13.289549
-84.151473,12,13.305408
-167.177231,12,13.315515
-182.449647,12,13.33415
-248.539384,12,13.347746
-291.965693,12,13.360724
-96.279302,12,13.373827
-128.197397,12,13.386409
-173.799151,12,13.396611
-274.796493,12,13.416857
-230.853979,12,13.426978
-362.228891,12,13.442574
-203.148198,12,13.457318
-223.817878,12,13.473278
-119.286167,12,13.487848
-167.927652,12,13.502309
-152.955953,12,13.514846
-166.985735,12,13.533229
-166.526342,12,13.550064
-180.924622,12,13.564075
-299.617315,12,13.576138
-283.109573,12,13.589816
-115.431991,12,13.601712
-126.212596,12,13.612175
-249.55615,12,13.624475
-181.373543,12,13.642905
-127.29238,12,13.654588
-146.616442,12,13.670723
-92.264315,12,13.683317
-189.962748,12,13.693416
-189.016604,12,13.713846
-262.33693,12,13.728549
-149.097497,12,13.746403
-247.777078,12,13.758452
-57.410721,12,13.765001
-136.294308,12,13.785029
-128.649431,12,13.796721
-253.522119,12,13.813221
-276.993053,12,13.826264
-164.687741,12,13.839594
-187.721088,12,13.856266
-314.369099,12,13.872839
-322.926754,12,13.889447
-300.486888,12,13.904471
-276.180573,12,13.918611
-174.288492,12,13.933484
-275.104026,12,13.949779
-84.414105,12,13.967028
-246.519877,12,13.980876
-274.719709,12,13.99104
-212.561591,12,14.002986
-247.326123,12,14.021563
-167.906879,12,14.036448
-124.219918,12,14.051163
-305.674192,12,14.065225
-174.190201,12,14.082517
-202.851957,12,14.09798
-205.750719,12,14.111085
-279.597955,12,14.127641
-156.547335,12,14.141104
-315.801377,12,14.155763
-335.423869,12,14.165887
-61.222951,12,14.176415
-203.818766,12,14.200502
-140.342076,12,14.21894
-86.02513,12,14.232455
-127.96885,12,14.248623
-269.894393,12,14.262833
-218.706767,12,14.282265
-317.887813,12,14.309114
-13.005101,12,14.326491
-280.170572,12,14.345909
-268.284628,12,14.369627
-295.104604,12,14.388345
-109.608255,12,14.403022
-199.557422,12,14.413261
-151.707491,12,14.433941
-89.580834,12,14.444042
-219.7908,12,14.464445
-240.600875,12,14.480581
-209.405874,12,14.493641
-104.572243,12,14.507216
-199.460512,12,14.52156
-172.66641,12,14.536196
-195.070611,12,14.546359
-133.725314,12,14.560675
-140.84812,12,14.580872
-101.214264,12,14.591543
-189.120378,12,14.615286
-211.01911,12,14.631765
-273.323526,12,14.652046
-314.208626,12,14.660715
-203.020478,12,14.683516
-205.478758,12,14.692869
-96.265452,12,14.713043
-158.168767,12,14.730694
-81.489134,12,14.743552
-129.054808,12,14.766204
-111.927188,12,16.150417
-88.624156,12,16.170693
-91.273484,12,16.192413
-219.824449,12,16.212337
-82.554042,12,16.230384
-255.912226,12,16.250378
-274.842306,12,16.295727
-254.628546,12,16.360208
-112.003064,12,16.395617
-197.686085,12,16.419277
-165.86142,12,16.439154
-80.480424,12,16.458496
-145.021668,12,16.476163
-114.192597,12,16.49791
-301.395844,12,16.515557
-139.587909,12,16.536506
-177.754712,12,16.554565
-150.655597,12,16.570141
-252.381725,12,16.586738
-192.69204,12,16.604505
-204.013188,12,16.621474
-105.256366,12,16.643439
-231.973904,12,16.66455
-231.450859,12,16.686008
-123.387319,12,16.706906
-123.019189,12,16.731202
-176.964723,12,16.75111
-229.095335,12,16.76758
-76.413281,12,16.784899
-160.653993,12,16.80119
-163.562955,12,16.822526
-238.502115,12,16.83821
-246.689498,12,16.854067
-158.444006,12,16.870669
-201.53875,12,16.889978
-101.913262,12,16.908009
-240.890379,12,16.924697
-195.967456,12,16.944929
-240.856195,12,16.964395
-251.680028,12,16.984845
-279.079396,12,16.99856
-139.543909,12,17.018988
-132.988472,12,17.035003
-154.539723,12,17.0574
-208.894283,12,17.074851
-106.295936,12,17.093487
-184.051067,12,17.110808
